,full_text,username,Kategori,created_at,tweet_english
17,manlagi sayangnya kebanyakan msh pendukung anies dateng mas baru di lampung kemaren berani bgt ya juga kayaknya dibilang takut sih kalo hadepan lgsg buat desak anies wkwk,dolken234,Capres,Fri Dec 15 04:03:41 +0000 2023,"Where else is unfortunately most of the supporters of Anies came, bro, in Lampung yesterday, I dare to be said to be afraid if you were in front"
18,ur595912246375 ansen jsp deinginkrat anies pks,Aby_zaky_,Capres,Fri Dec 15 04:03:37 +0000 2023,UR595912246375 ANSEN JSP DEEINKRAT ANIES PKS
19,gerindra bantah soal anies bilang prabowo bisnisnya macet gegara jadi oposisi,Riau24Com,Capres,Fri Dec 15 04:03:33 +0000 2023,Gerindra denies about Anies saying Prabowo has a traffic jam to become an opposition
20,hemit is back anies ikut menguburkan harun tahun 2019 beritanya apakah dikatakan hoax padahal beliau ikut penguburannya,nameItAllSarah,Capres,Fri Dec 15 04:03:31 +0000 2023,"Hemit is back Anies joined in buried Aaron in 2019, the news was said to be said to be a hoax even though he joined his burial"
21,anies baswedan menjawab pertanyaan debat bukti nyata kinerja sangat memuaskan,wavetoraln,Capres,Fri Dec 15 04:03:29 +0000 2023,Anies Baswedan answered the question of the real proof of performance was very satisfying
22,angmaspri obenaccro anies tuh cerdas terutama soal janji transportasi jaklingko mau rekrut pak iganisus pemilih sudah banyak tadi nya kurang bijak aja harus bawa ulama gimana kalo pendeta pastor pemimpin agama juga pertimbangkan opini nya hanya cuman ulama,sofiamarahmarah,Capres,Fri Dec 15 04:03:26 +0000 2023,"Angmaspri Obenaccro Anies is intelligent, especially about the promise of Jaklingko transportation want to recruit Mr. Iganisus voters, there are already many of them, they have to bring scholars."
23,ahnilanzar karakter wowo vs anies jauhlah lah bang mbok legowo aja anies simpati publik meluas sedang wowo sebaliknya sesederhana dipahaminya jgn kita jd parasocial relationship disorder,ahmadba83911331,Capres,Fri Dec 15 04:03:24 +0000 2023,"Ahnilasizar Character Wowo vs Anies is far away, Bang Mbok Legowo, Anies, Anies, the public is widespread while Wowo is as simple as we understand, so we don't do the Parasocial Relationship Disorder."
24,avicali kalau ga kerja bidang nya jago nyindir orang anies,yogi_Halim,Capres,Fri Dec 15 04:03:23 +0000 2023,"Avicals if they don't work, they are good at insinuating Anies"
25,ndre rosiade paragraf satu udah dijelasin sama pa anies sendiri tonton geh videonya biar paham konteks ape2 ditelen mentah2 paragraf kedua namanya pamrih katanya paling ikhlas ko diungkit ko nyapres paragraf ketiga etika katanya bro awokwokwok mending ngaca dulu dah,ontonowhere,Capres,Fri Dec 15 04:03:20 +0000 2023,Ndre Rosiade Paragraph One has been explained by Pa Anies himself watching the video geh so that I understand the context of ape2 ditlen raw the second paragraph name is strings attached
26,bicara sesuai fakta anies lantang sebut lampung mempunyai alat pemantau polusi udara gacoan anies gempa daesang pagii batter up 100m views pilihan terbaik,dsukinah,Capres,Fri Dec 15 04:03:18 +0000 2023,Talk according to the facts of Anies Lantang Temut Lampung has an air pollution monitoring device Anies Anies Earthquake Daesang Pagii Batter Up 100m Views Best Choice
27,prabowo sindir anies baswedan apbd paling besar kok mas anies gagal memimpin jakarta gacoan anies gempa daesang pagii batter up 100m views pilihan terbaik,dsukinah,Capres,Fri Dec 15 04:03:17 +0000 2023,Prabowo Sindir Anies Baswedan APBD is the biggest Kok Anies failed to lead Jakarta Gacoan Anies Earthquake Daesang Pagii Batter Up 100m Views Best Choice
28,ldapstsr itu anaknya anies emang cantik banget senyumnya,jongwonrp,Capres,Fri Dec 15 04:03:15 +0000 2023,LDAPSTSR is that Anies's son is really beautiful
29,anies selalu berkomitmen mewujudkan perubahan positif kebaikan masyarakatnya negaranya,wavetoraln,Capres,Fri Dec 15 04:03:14 +0000 2023,Anies is always committed to realizing the positive changes of the goodness of his country
30,kemenangan anies gub dki klaim penuh prabowo gerindra baik dukungan ingindal logistik ndre rosiade sungguh kesombongan menghilangkan jasa2 partai2 relawan2 rakyat dki pilgub dki lebih berjasa,seven7_7up,Capres,Fri Dec 15 04:03:13 +0000 2023,Anies Gub DKI's Victory Claims Full Prabowo Gerindra Good Support Ingindal Logistik Ndre Rosiade is truly arrogant to eliminate the services of the DKI Jakarta Pilgub Volunteer Parties more meritorious
31,selama masa jabatannya gubernur anies memimpin berbagai proyek pembangunan kesejahteraan rakyatnya,wavetoraln,Capres,Fri Dec 15 04:03:12 +0000 2023,During his term of office Governor Anies led various projects for the development of his people's welfare
32,anies baswedan mengajak warganya menunjukkan kekuatan bangsa semangat perjuangan,wavetoraln,Capres,Fri Dec 15 04:03:07 +0000 2023,Anies Baswedan invites its citizens to show the power of the nation's spirit of struggle
33,pemikiran anies debat perdananya sedikit mampu menciptakan perubahan positif masyarakat,wavetoraln,Capres,Fri Dec 15 04:03:02 +0000 2023,Anies's thinking the first debate was a little able to create positive changes in society
34,daphie8 kowboy2 anies angkat alis ada tidak pernah ada menggunakan fakedeep ai dasar buzzer polri sukanya buat fitnah,zainalarifin083,Capres,Fri Dec 15 04:03:01 +0000 2023,daphie8 kowboy2 anies lifting eyebrows there is never using fakedeep ai basic buzzer police like to slander
35,2019 anies jd gubernur ikut pilpres krn prabowo 2024 anies dicalonkan nasdem apa salahnya nasdem jeli krn negara butuh sosok anies rakyat perubahan keadilan sosial seluruh rakyat indonesia,Adam03072022,Capres,Fri Dec 15 04:02:58 +0000 2023,2019 Anies became governor participating in the presidential election because Prabowo 2024 Anies was nominated by NasDem what's wrong with Nasdem jelly because the state needs the figure of Anies People Change Social Justice All Indonesian people
36,berbagai inisiatifnya mengembangkan jakarta anies menjadi contoh nyata banyak orang,wavetoraln,Capres,Fri Dec 15 04:02:57 +0000 2023,various initiatives developing Jakarta Anies to be a clear example of many people
37,umparan niesbaswedan ordal anies profesional berintegritas,FierCollec6141,Capres,Fri Dec 15 04:02:57 +0000 2023,Anies Baswedan Ordal Anies Professional Coils with Integrity
38,altiwest ee 1209 anies baswedan muhaimin iskandar dong indonesia lebih baik,tj_harianto,Capres,Fri Dec 15 04:02:55 +0000 2023,Altiwest EE 1209 Anies Baswedan Muhaimin Iskandar Dong Indonesia
39,debat banyak buah pemikiran anies pada akhirnya memang benar benar bermanfaat pencerdasan warga negara,wavetoraln,Capres,Fri Dec 15 04:02:51 +0000 2023,The debate of many of Anies's thoughts in the end was truly beneficial for the intelligence of citizens
40,aludosparatii ullinginonfolks udah rahasia umum lah ga usah ditutupi bagaimana anies menikmati politik identitas dia betul betul ambil untung,Fahmy_TEGAL,Capres,Fri Dec 15 04:02:51 +0000 2023,"Aludosparatii Ullininonfolks is already a public secret, it is not necessary"
41,anies baswedan dituding capres banyak janji timnas amin janji terukur,polhukamid_,Capres,Fri Dec 15 04:02:49 +0000 2023,Anies Baswedan was accused of presidential candidates.
44,aden mas budi eraloebss org cerdas paham apa disampaikan pak anies klo otaknya cetek males mikir penilaiannya njelimet,SubhanDanil,Capres,Fri Dec 15 04:02:41 +0000 2023,Raden Mas Budi Heralobss The smart person understands or conveyed by Pak Anies if his brain is lazy to think of his judgment
45,bicara sesuai fakta anies lantang sebut lampung mempunyai alat pemantau polusi udara gacoan anies gempa daesang pagii batter up 100m views pilihan terbaik,aryaawiigunaa,Capres,Fri Dec 15 04:02:41 +0000 2023,Talk according to the facts of Anies Lantang Temut Lampung has an air pollution monitoring device Anies Anies Earthquake Daesang Pagii Batter Up 100m Views Best Choice
46,prabowo sindir anies baswedan apbd paling besar kok mas anies gagal memimpin jakarta gacoan anies gempa daesang pagii batter up 100m views pilihan terbaik,aryaawiigunaa,Capres,Fri Dec 15 04:02:40 +0000 2023,Prabowo Sindir Anies Baswedan APBD is the biggest Kok Anies failed to lead Jakarta Gacoan Anies Earthquake Daesang Pagii Batter Up 100m Views Best Choice
50,an mar3m buzzerrp paslon no 2 kehabisan akal amp narasi serang anies makanya pakai methode fitnah recehan,antaz345,Capres,Fri Dec 15 04:02:40 +0000 2023,"An Mar3m Buzzerrp Paslon No. 2 Running Amp Narration of Anies Serang Narration, so use the method of slander in change"
51,anies membangun jakarta lebih berkelanjutan ramah lingkungan memastikan pertumbuhan kota memberikan manfaat seluruh warga,wavetoraln,Capres,Fri Dec 15 04:02:32 +0000 2023,Anies builds Jakarta more sustainable environmentally friendly ensures that city growth provides benefits for all citizens
52,ndre rosiade janji sdh ditunaikan nyapres selama masa niesbaswedan jabat gub dki kalau sdh selesai selesailah janjinya mission accomplished smp kpn pak anies nyapres kl tiap priode rabowo kalah terus amp nyapres terus etika koyol tau,t0d1_cool,Capres,Fri Dec 15 04:02:32 +0000 2023,Ndre Rosiade promised that the presidential candidate had been fulfilled during the niesbaswedan period of the Governor of Governor of DKI Jakarta if he finished the promise of the Mission Accomplished Middle School Pak Anies Nyapres Kl Kl each period of Rabowo Losed and continued to continue ethics to know ethics.
53,eloraco foodeatate gagal pesawat tempur rongsokan hutang kemenhan trilyunan bentuk kebengisan 270 juta lebih rakyat indonesia sarankan tim tkn banyak bercermin menyerang pak anies akhlak kalian pada benar,UmmiYusniar,Capres,Fri Dec 15 04:02:25 +0000 2023,Eloco Foodeatate Failed Fighter Fighters Delbust of the Ministry of Debt of the Ministry of Defense of the Trillions
54,ogi bubu asakanrasako ga bang aman anies pernah tegor rijik suruh bayar denda kok waktu buat kerumunan pas covid buktinya,rihan_ribi,Capres,Fri Dec 15 04:02:24 +0000 2023,OGI Bubu Asakanrasako Ga Bang Aman Anies has been cuffering to be passionate about paying a fine when for the crowd when the Covid is proof
55,o adoo ronoz gw gak bahas dki debat jujur gw udah melunak sama anies siap menerima kemungkinan jadi presiden gw ngoinginng gitu baca ttg berita kontrak politik anyway di twit awal gw dki negara,footycinephile,Capres,Fri Dec 15 04:02:24 +0000 2023,o ado kronoz I don't discuss DKI honest debate I have softened by Anies ready to accept the possibility of being president I am ngoinginng so read about the news of anyway political contracts on my first tweet
56,indra kurnia rabusantoso1 obat anies artaisocmed iya kok disurvey kok unggul,riyanto442799,Capres,Fri Dec 15 04:02:17 +0000 2023,"Indra Kurnia Rabusantoso1 Anies Artaisocmed medicine, how come it's surveyed"
57,h chotimah2 buni yani mengatakan meingintong video pidato ahok tim cybernya prabowo jadi ketimbang anies tak punya masa lebih bertanggungjawab prabowo yang menggerakan kelompok brutal 212,DylanBr03197352,Capres,Fri Dec 15 04:02:15 +0000 2023,H Chotimah2 Buni Yani said that the prabowo's Ahok Cyber Team's speech was so than Anies had no more time responsible for Prabowo who moved the Brutal 212 group
58,uhammad saewad la emang pengusung anies pkb nasdem oposisi,Bobon589,Capres,Fri Dec 15 04:02:14 +0000 2023,Muhamad Saewad La is the bearer of Anies PKB NasDem Opposition
59,ukanbuzzerrp artaisocmed buzzer anies follower ribuan klo tweet bayar,pecandujudi,Capres,Fri Dec 15 04:02:11 +0000 2023,Ukubuzzerrp Artaisocmed Buzzer Anies Follower Thousands
60,bicara sesuai fakta anies lantang sebut lampung mempunyai alat pemantau polusi udara gacoan anies gempa daesang pagii batter up 100m views pilihan terbaik,bagasangkas,Capres,Fri Dec 15 04:02:11 +0000 2023,Talk according to the facts of Anies Lantang Temut Lampung has an air pollution monitoring device Anies Anies Earthquake Daesang Pagii Batter Up 100m Views Best Choice
61,prabowo sindir anies baswedan apbd paling besar kok mas anies gagal memimpin jakarta gacoan anies gempa daesang pagii batter up 100m views pilihan terbaik,bagasangkas,Capres,Fri Dec 15 04:02:10 +0000 2023,Prabowo Sindir Anies Baswedan APBD is the biggest Kok Anies failed to lead Jakarta Gacoan Anies Earthquake Daesang Pagii Batter Up 100m Views Best Choice
62,hadlvn rsipaja anies bagus sebenernya kuncinya sih ka belakang jg ga ngapa2in kalau aniesnya busuk baru bahaya kalau presiden skrg ga berani komen kasar khawatir knp2,beyoubeau,Capres,Fri Dec 15 04:02:08 +0000 2023,"Hadlvn Rsipaja Anies is actually good, the key is the rear, too, it doesn't do anything if the anies are rotten, it is dangerous if the president doesn't dare to comment rude"
63,ospurwa gak layak jadi presiden pantesan gak pernah menang dulu dukung hanya 2 pilihan sekarang anies paling layak semuanya,SoniS81984310,Capres,Fri Dec 15 04:02:08 +0000 2023,"Ospurwa is not worthy of being president and never wins first, support only 2 choices now Anies is the most worthy"
64,aufikrendusara dulu sih 2 kali milih sekarang sih udah makin yakin pilih anies,arifienz,Capres,Fri Dec 15 04:02:01 +0000 2023,"aufikrendusara first, I chose it 2 times now, it's even more sure to choose Anies"
65,anies baswedan dituding capres banyak janji timnas amin janji terukur,geloradotnews,Capres,Fri Dec 15 04:01:50 +0000 2023,Anies Baswedan was accused of presidential candidates.
66,anies baswedan dituding capres banyak janji timnas amin janji terukur,idtodaycoid,Capres,Fri Dec 15 04:01:49 +0000 2023,Anies Baswedan was accused of presidential candidates.
67,wkwkwk pendukung anies kek gini,selow_mas,Capres,Fri Dec 15 04:01:42 +0000 2023,wkwkwk supporting anies kek like this
68,ivacoid waktu debat perdana pak anies menunjukkan politisi intelek setelan jas peci,wavetoraln,Capres,Fri Dec 15 04:01:40 +0000 2023,Ivacoid during the first debate Pak Anies showed an intellectual politician
69,ungdree vonenews ikysaputrii niesbaswedan disampaikan kiky malah bagus kok justru memuji anies,shafirgora,Capres,Fri Dec 15 04:01:39 +0000 2023,"Ungdree Vonews Ikysaputrii Niesbaswedan delivered by Kiky even good, how come it praised Anies"
70,ivacoid terlihat debat anies selalu memiliki kemampuan merancang menerapkan solusi solusi kreatif,wavetoraln,Capres,Fri Dec 15 04:01:37 +0000 2023,Ivacoid looks Anies's debate always has the ability to design applying creative solutions
71,ivacoid selama debat anies memiliki banyak solusi mengenai masalah ketimpangan terjadi indonesia,wavetoraln,Capres,Fri Dec 15 04:01:34 +0000 2023,Ivacoid during the Anies debate has many solutions regarding the problem of inequality in Indonesia
72,bicara sesuai fakta anies lantang sebut lampung mempunyai alat pemantau polusi udara gacoan anies gempa daesang pagii batter up 100m views pilihan terbaik,roziiputraa,Capres,Fri Dec 15 04:01:32 +0000 2023,Talk according to the facts of Anies Lantang Temut Lampung has an air pollution monitoring device Anies Anies Earthquake Daesang Pagii Batter Up 100m Views Best Choice
73,prabowo sindir anies baswedan apbd paling besar kok mas anies gagal memimpin jakarta gacoan anies gempa daesang pagii batter up 100m views pilihan terbaik,roziiputraa,Capres,Fri Dec 15 04:01:32 +0000 2023,Prabowo Sindir Anies Baswedan APBD is the biggest Kok Anies failed to lead Jakarta Gacoan Anies Earthquake Daesang Pagii Batter Up 100m Views Best Choice
74,ivacoid selama debat nya anies memperkenalkan program program solusi masalah ada dalam penididikan transportasi lingkungan,wavetoraln,Capres,Fri Dec 15 04:01:32 +0000 2023,Ivacoid during his debate Anies introduced the problem solutions program program in the environment of environmental transportation
75,omeogadungan seinget ku 212 yang datang makruf amin sama jokowi anies ga datang acara 212 inginnas,IlhamDhaani,Capres,Fri Dec 15 04:01:31 +0000 2023,Romeogadungan Seinget me 212 who came Ma'ruf Amin and Jokowi Anies did not come the 212 event wanted the National Education
78,ivacoid anies mendominasi debat pertama retorika baik menilai anies punya keleluasaan menyerang gagasan kandidat karena mengusung visi perubahan,wavetoraln,Capres,Fri Dec 15 04:01:26 +0000 2023,Ivacoid Anies dominates the first debate good rhetoric assesses Anies has the freedom of attacking candidates because it carries the vision of change
79,ganjar sama prabowo sama2 mantan napi korupsi jadi timses resmi nasional anies ga sih,huftbosan,Capres,Fri Dec 15 04:01:23 +0000 2023,Ganjar and Prabowo are both former corruption inmates to be the official team of Anies's national official
80,ivacoid selama debat berlangsung anies menunjukkan gambaran diri seorang terpelajar,wavetoraln,Capres,Fri Dec 15 04:01:23 +0000 2023,Ivacoid during the debate Anies showed a picture of an educated self
81,haiii bestie disaat debat perdana capres cawapres kemaren malam menyisakan inginmen dramatis sang pangeran lupa kalau lagi berada area mimbar debat bukan pertandingan bola sang pangeran ngos ngosan awokawokawok gacoan anies semalem ordal,rasa2086,Capres,Fri Dec 15 04:01:21 +0000 2023,Haiii Bestie during the first debate of the vice presidential candidate yesterday night left to want to be dramatic in the prince forgot that he was in the pulpit area of the debate not the soccer match of the prince ngosan awokawokawok gacoan anies lasting
82,anies si dablek habiskan uang negara 80 triliun tak atasi polusi jungkook is coming olivia gacoan daesang bangtan debut karina wonbin batter up 100m views,Alfakton_i,Capres,Fri Dec 15 04:01:21 +0000 2023,Anies Si Dablek spent 80 trillion State money did not overcome Jungkook's pollution is coming olivia gacoan daesang bangtan debut karina wonbin batter up 100m views
83,ewalorenzo obby risakotta ayo bli ketut maen2 lah jakarta biar merasakan kemajuan jakarta sejak dipimpin anies,luppe75,Capres,Fri Dec 15 04:01:19 +0000 2023,Ewalorenzo Obby Risakotta Ayo Bli Ketut Maen2 Lah Jakarta to feel the progress of Jakarta since led by Anies
84,ivacoid selama debat anies tampil tenang menjelaskan segala pertanyaan atas permasalahan dibahas debat,wavetoraln,Capres,Fri Dec 15 04:01:19 +0000 2023,Ivacoid during Anies's debate appeared calmly explaining all questions about the problem of being discussed by the debate
85,obat anies artaisocmed artaisocmed dikasih fakta nih,Tegar42671449,Capres,Fri Dec 15 04:01:18 +0000 2023,Anies Artaisocmed Artaisocmed medicine is given facts
86,rabusantoso1 asleee obat anies artaisocmed iya saya jdi malu cari presiden lo bukan ketua rt,riyanto442799,Capres,Fri Dec 15 04:01:18 +0000 2023,Wednesday Santoso1 Aslene drug Anies Partisocmed yes I am ashamed to find your president not the head of RT
87,ivacoid debatnya anies hendak memanfaatkan tren populer sosial media menyebarluaskan kritik terutama kritik kemerdekaan berpendapat,wavetoraln,Capres,Fri Dec 15 04:01:17 +0000 2023,"Ivacoid debate Anies wants to take advantage of the popular trend of social media to spread criticism, especially criticism of independence argues"
88,ndre rosiade pak anies berjanji warga jakarta u menjalankan amanah smpai tuntas memimpin ibu kota jakarta apakh salah bang kl skrg pak anies berniat membawa perubahan apakh juga salah tidak beretika bang rekam jejak sdh terbukti beliau menuntaskan amanah memimpin jkt,Apriansyah1977,Capres,Fri Dec 15 04:01:16 +0000 2023,"Ndre Rosiade Pak Anies promised that Jakarta residents were carrying out the mandate of the mandate to the point of leading the Jakarta capital, if I was wrong, bro, Pak Anies intended to bring changes or wrong, not ethical, the track record was proven to complete the mandate to lead JKT"
89,ivacoid anies seorang pemimpin memiliki semangat luar biasa terkenal solusinya menghadapi berbagai tantangan,wavetoraln,Capres,Fri Dec 15 04:01:16 +0000 2023,"Ivacoid Anies, a leader, has an extraordinary spirit of the solution to face various challenges"
90,ivacoid anies memiliki kemampuan eksekusi implementasi kebijakan dilakukan sungguh sungguh mencapai hasil diharapkan,wavetoraln,Capres,Fri Dec 15 04:01:14 +0000 2023,Ivacoid Anies has the ability to execute policy implementation carried out really achieved the expected results
91,ivacoid anies contoh nyata seorang pemimpin memiliki semangat tak tergoyahkan,wavetoraln,Capres,Fri Dec 15 04:01:11 +0000 2023,Ivacoid Anies Real Examples A leader has an unwavering spirit
92,ansen jsp rabowo analisa mu kalau jujur bkn sebenarnya sebenarnya pintar menganalisa tp si buah hati menjadi sesuai hati nurani sebenarnya pa wowo sdh einginsi tp menahan einginsi nya diucapkan lah mas anies mas anies,RJstak,Capres,Fri Dec 15 04:01:11 +0000 2023,"Ansen JSP Rabowo Your analysis if honest, not actually good at analyzing but the baby becomes in accordance with the conscience, actually, but I have to hold it."
93,ivacoid menilai anies berhasil menjelaskan permasalahan muncul dalam debat konkret,wavetoraln,Capres,Fri Dec 15 04:01:08 +0000 2023,Ivacoid assessed that Anies succeeded in explaining the problem arising in a concrete debate
94,rekomendasi buku anak anak usia 1 7 tahun buku full gambar warna buat koleksi tag besok senin selasa rabu kamis jumatberkah sabtu malam mingguan malmingan pagiii sarapan makan siang gacoan anies surabaya gempa olivia hari ibu dana ginting desember,maniss_you,Capres,Fri Dec 15 04:01:07 +0000 2023,Recommendations for Children's Books Age 1 7 Year Full Color Image for Collection Tags tomorrow Monday Wednesday Thursday Friday
95,ivacoid anies sosok memiliki tekad luar biasa menghadapi rintangan menghadangnya,wavetoraln,Capres,Fri Dec 15 04:01:05 +0000 2023,Ivacoid Anies has an extraordinary determination to face obstacles to block him
96,ivacoid anies selalu menunjukkan keteguhan tekad luar biasa mencari solusi mewujudkan visi misinya memajukan daerah,wavetoraln,Capres,Fri Dec 15 04:01:02 +0000 2023,Ivacoid Anies always shows the determination of extraordinary determination to find a solution to realize its vision and mission to advance the region
97,ivacoid pakar komunikasi politik universitas brawijaya verdi firmantoro menilai anies capres runut menyampaikan materi debat,wavetoraln,Capres,Fri Dec 15 04:00:59 +0000 2023,Ivacoid Expert Political Communication Universitas Brawijaya Verdi Firmantoro Assessed Anies Candidate Runut Delivering Debate Materials
98,ivacoid komitmennya perbaikan pembangunan anies menciptakan landasan masa depan lebih baik,wavetoraln,Capres,Fri Dec 15 04:00:58 +0000 2023,Ivacoid's commitment to improve Anies's development creates a better future foundation
99,ndre rosiade takut banget da anies jadi presiden yang berdarah sumbar malu sama kengototan membela prabowo,tekiwo,Capres,Fri Dec 15 04:00:57 +0000 2023,Andre Rosiade was very scared and Anies became a domestic president of West Sumatra as embarrassed by Keng Kengototan defending Prabowo
100,etikcom etiksumut waktu uas sadar kita pilih sandal jepit bakiak sama buruknya harus tetap memilih sekarang anies ganjar lebih punya ide gagasan sandal jepit ditinggalkan,BellaSumarni,Capres,Fri Dec 15 04:00:51 +0000 2023,ethics ethics.
101,ivacoid melihat debat menilai anies pemimpin selalu memiliki solusi menghadapi berbagai rintangan,wavetoraln,Capres,Fri Dec 15 04:00:50 +0000 2023,Ivacoid sees the debate assesses Anies leaders always have solutions to face various obstacles
102,ivacoid sangat terlihat debat capres 2024 anies baswedan capres bisa menjawab pertanyaan jawaban memuaskan,wavetoraln,Capres,Fri Dec 15 04:00:42 +0000 2023,Ivacoid is very visible Debate of 2024 Presidential Candidate Anies Baswedan Candidate can answer satisfying answer questions
103,ayapada0812 gabisa cari kesalahan anies sampe kesalahan pendukungnya dicari ingin milih presiden ingin milih pendukungnya,apuyummy,Capres,Fri Dec 15 04:00:37 +0000 2023,Ayapada0812 Can not look for Anies's mistakes until the supporting mistakes are sought to choose the president to choose his supporters
104,semua oinginngan anies ngibul program programnya amburadul jungkook is coming olivia gacoan daesang bangtan debut karina wonbin batter up 100m views,Alfakton_i,Capres,Fri Dec 15 04:00:36 +0000 2023,All of the anies ngibul the program is chaotic jungkook is coming olivia gacoan daesang bangtan debut karina wonbin batter up 100m views
105,ivacoid debat capres anies baswedan menanggapi pernyataan argumen sangat berbobot tentunya memuaskan rakyat,wavetoraln,Capres,Fri Dec 15 04:00:35 +0000 2023,Ivacoid Candidate Debate Anies Baswedan responded to a very weighty argument statement of course satisfying the people
